<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,20200102,000000,269.205,273.791,268.252,273.791,175444.48967201222,0
CDR,D,20200103,000000,273.977,276.658,268.35,273.025,255568.52833326574,0
CDR,D,20200107,000000,274.076,275.323,270.069,270.923,222980.49659737802,0
CDR,D,20200108,000000,270.638,270.923,264.725,268.35,235131.5173664782,0
CDR,D,20200109,000000,271.12,275.509,270.167,275.509,204158.32717072117,0
CDR,D,20200110,000000,276.365,279.419,271.591,272.072,277182.56125487713,0
CDR,D,20200113,000000,274.743,277.416,271.306,277.416,219052.33855085517,0
CDR,D,20200114,000000,277.326,278.565,273.221,275.411,282533.12386101903,0
CDR,D,20200115,000000,276.275,276.462,269.872,270.354,275198.11852998286,0
CDR,D,20200116,000000,269.686,273.025,266.533,269.499,260108.61561409532,0
CDR,D,20200117,000000,242.284,255.848,231.982,254.414,2927155.85592505,0
CDR,D,20200120,000000,256.515,269.784,254.983,268.733,799425.9807963385,0
CDR,D,20200121,000000,268.92,272.74,261.19,266.15,463063.4480178358,0
CDR,D,20200122,000000,269.116,271.12,261.956,263.095,520738.5419901901,0
CDR,D,20200123,000000,261.573,265.866,260.424,261.573,476686.7644155766,0
CDR,D,20200124,000000,260.62,264.913,258.902,263.478,344788.01433240814,0
CDR,D,20200127,000000,264.53,266.632,256.132,258.705,275198.11852998286,0
CDR,D,20200128,000000,259.187,263.763,259.187,263.763,257303.51571306234,0
CDR,D,20200129,000000,264.432,265.296,261.76,264.725,418462.86868399533,0
CDR,D,20200130,000000,264.432,265.777,261.573,265.296,351423.5265120922,0
CDR,D,20200131,000000,265.394,268.831,262.044,268.831,581647.3917831185,0
CDR,D,20200203,000000,267.869,280.185,266.818,280.185,618181.9088970107,0
CDR,D,20200204,000000,280.185,291.165,277.131,291.165,697379.3991335984,0
CDR,D,20200205,000000,289.259,306.054,288.592,294.033,825256.3181426949,0
CDR,D,20200206,000000,295.457,300.23,291.833,299.474,347188.8947558656,0
CDR,D,20200207,000000,299.091,302.431,293.454,294.789,245476.27780004678,0
CDR,D,20200210,000000,296.803,299.189,295.938,296.606,128066.30143435611,0
CDR,D,20200211,000000,298.806,302.617,296.42,296.42,227062.40059128802,0
CDR,D,20200212,000000,296.891,301.477,294.416,298.992,245453.8777282426,0
CDR,D,20200213,000000,298.894,304.248,298.04,304.248,265279.977645794,0
CDR,D,20200214,000000,304.817,311.976,303.099,311.21,416049.77003956016,0
CDR,D,20200217,000000,312.742,320.757,308.922,311.21,179338.02942574315,0
CDR,D,20200218,000000,310.641,315.798,308.353,314.079,119888.23885538708,0
CDR,D,20200219,000000,315.032,316.848,310.926,315.798,320636.6641863329,0
CDR,D,20200220,000000,315.601,316.848,311.79,313.598,206626.40780959115,0
CDR,D,20200221,000000,313.125,318.852,311.79,315.984,212483.00840150286,0
CDR,D,20200224,000000,312.742,315.032,304.532,305.671,419040.1796255203,0
CDR,D,20200225,000000,301.86,307.105,291.45,293.365,644457.1931242283,0
CDR,D,20200226,000000,287.924,302.244,283.524,293.837,552879.5904750654,0
CDR,D,20200227,000000,294.033,296.891,277.514,279.232,479863.50187155453,0
CDR,D,20200228,000000,263.478,273.025,249.738,265.866,1159202.697721541,0
CDR,D,20200302,000000,274.842,284.487,259.658,271.503,709383.8012508961,0
CDR,D,20200303,000000,281.619,292.982,277.033,291.932,780947.9579274092,0
CDR,D,20200304,000000,286.676,290.596,279.232,282.188,432054.6213441962,0
CDR,D,20200305,000000,289.259,291.647,280.853,284.103,317971.0556415481,0
CDR,D,20200306,000000,281.236,281.521,270.167,279.9,381219.6947530153,0
CDR,D,20200309,000000,253.933,271.12,247.725,257.753,739752.1895079309,0
CDR,D,20200310,000000,262.526,267.299,255.848,258.038,475957.74389683583,0
CDR,D,20200311,000000,258.705,259.373,231.019,239.612,835098.0951457355,0
CDR,D,20200312,000000,217.662,224.34,195.888,206.299,1396589.4950447343,0
CDR,D,20200313,000000,219.567,241.528,213.644,232.836,1295176.2245030345,0
CDR,D,20200316,000000,225.204,259.658,211.926,240.566,1028845.4798525966,0
CDR,D,20200317,000000,250.111,260.424,243.62,256.417,901926.6730056655,0
CDR,D,20200318,000000,257.272,268.448,243.718,246.586,749089.964895353,0
CDR,D,20200319,000000,246.586,261.092,244.867,261.092,536277.0645272615,0
CDR,D,20200320,000000,268.252,270.452,244.769,254.414,979069.4657466948,0
CDR,D,20200323,000000,245.437,259.658,238.66,253.167,459874.4923408803,0
CDR,D,20200324,000000,264.53,267.869,256.132,264.058,454368.1474171798,0
CDR,D,20200325,000000,271.12,274.645,259.658,265.011,401112.99488597916,0
CDR,D,20200326,000000,263.39,269.018,261.092,268.35,308827.753604799,0
CDR,D,20200327,000000,269.686,270.923,262.143,266.347,297529.97193443804,0
CDR,D,20200330,000000,267.299,268.164,260.807,268.164,292278.17328125855,0
CDR,D,20200331,000000,270.167,276.748,268.448,275.991,371969.4832826486,0
CDR,D,20200401,000000,270.638,274.842,266.347,269.303,281258.3561383033,0
CDR,D,20200402,000000,269.303,274.743,263.959,274.743,303187.00825027365,0
CDR,D,20200403,000000,275.892,284.29,272.17,283.524,433766.19046711805,0
CDR,D,20200406,000000,291.165,304.248,290.498,303.766,417973.1216595358,0
CDR,D,20200407,000000,314.079,316.564,288.966,288.966,593691.503118611,0
CDR,D,20200408,000000,281.619,297.657,279.714,294.887,318210.3291358294,0
CDR,D,20200409,000000,315.984,318.754,305.2,314.079,721154.0207993155,0
CDR,D,20200414,000000,315.984,327.249,309.875,326.483,433802.8451300712,0
CDR,D,20200415,000000,328.114,329.253,322.957,326.68,598901.5561834343,0
CDR,D,20200416,000000,327.249,328.968,317.604,319.038,436277.0348794351,0
CDR,D,20200417,000000,322.957,328.585,321.709,324.096,244132.27349174727,0
CDR,D,20200420,000000,323.625,330.304,319.804,329.538,234700.82507677597,0
CDR,D,20200421,000000,327.063,328.585,320.757,320.757,196325.4293345603,0
CDR,D,20200422,000000,320.757,331.256,318.852,331.256,272003.05374252336,0
CDR,D,20200423,000000,327.446,338.613,326.483,338.613,318246.9837987825,0
CDR,D,20200424,000000,335.656,356.468,328.398,346.921,467295.0252188105,0
CDR,D,20200427,000000,350.831,357.037,349.494,351.312,343581.4650101855,0
CDR,D,20200428,000000,351.597,355.505,342.05,342.816,344437.75866418675,0
CDR,D,20200429,000000,342.816,348.541,337.374,344.819,268717.37048277666,0
CDR,D,20200430,000000,346.243,350.831,335.459,341.382,341534.912995282,0
CDR,D,20200504,000000,335.076,348.443,332.788,341.667,257640.5349752153,0
CDR,D,20200505,000000,343.955,344.623,335.273,341.284,215309.4901892594,0
CDR,D,20200506,000000,345.104,347.108,340.135,343.67,453402.90795940976,0
CDR,D,20200507,000000,343.67,346.725,338.042,339.467,206724.1535774629,0
CDR,D,20200508,000000,342.904,343.386,336.51,338.799,201242.24509574802,0
CDR,D,20200511,000000,341.765,347.108,338.042,346.538,248584.79685552153,0
CDR,D,20200512,000000,344.436,358.854,344.152,355.888,442096.9808083937,0
CDR,D,20200513,000000,354.17,362.38,353.6,362.281,289022.0173888804,0
CDR,D,20200514,000000,359.993,361.427,347.677,353.217,357550.9643358251,0
CDR,D,20200515,000000,353.315,357.607,349.681,354.268,251748.29790543104,0
CDR,D,20200518,000000,358.373,367.723,354.17,367.723,256530.71323579387,0
CDR,D,20200519,000000,370.492,371.357,360.563,362.478,259394.86787158423,0
CDR,D,20200520,000000,364.482,379.371,362.95,377.083,341773.1683044826,0
CDR,D,20200521,000000,376.897,382.042,373.645,374.794,338357.1573542234,0
CDR,D,20200522,000000,372.309,378.9,371.16,375.56,235499.08218110053,0
CDR,D,20200525,000000,377.466,384.812,377.466,379.469,120293.47651803317,0
CDR,D,20200526,000000,381.856,398.748,379.951,394.27,452323.63177243754,0
CDR,D,20200527,000000,394.27,394.741,363.716,364.197,742307.8340638562,0
CDR,D,20200528,000000,371.455,381.571,367.821,380.903,393448.09758835443,0
CDR,D,20200529,000000,392.355,394.172,375.266,385.48,884666.399494856,0
CDR,D,20200601,000000,386.629,389.203,376.798,378.9,221457.29171463518,0
CDR,D,20200602,000000,378.036,379.371,368.018,370.591,506466.6416951894,0
CDR,D,20200603,000000,372.309,379.951,368.489,370.492,286642.51885214646,0
CDR,D,20200604,000000,369.069,376.415,368.489,374.794,304478.0669343097,0
CDR,D,20200605,000000,376.602,378.036,370.875,372.879,400187.4646464042,0
CDR,D,20200608,000000,368.587,370.875,353.983,353.983,486938.8700066766,0
CDR,D,20200609,000000,355.122,368.401,336.225,368.401,407641.5976320457,0
CDR,D,20200610,000000,370.875,375.364,363.716,375.364,293089.66679165146,0
CDR,D,20200612,000000,360.946,371.072,355.034,362.095,348808.8272213995,0
CDR,D,20200615,000000,357.99,364.482,356.085,356.173,314024.5702635437,0
CDR,D,20200616,000000,360.661,368.018,358.373,362.095,160286.7683556215,0
CDR,D,20200617,000000,366.387,373.645,360.376,369.825,284908.5496574305,0
CDR,D,20200618,000000,369.825,378.517,368.685,369.736,194160.76785013205,0
CDR,D,20200619,000000,356.468,376.032,356.369,374.883,902469.3656543884,0
CDR,D,20200622,000000,372.309,390.45,370.404,388.633,479928.66571680567,0
CDR,D,20200623,000000,388.83,393.308,382.042,385.676,251568.0791459071,0
CDR,D,20200624,000000,391.403,394.172,386.629,389.114,201152.64480852135,0
CDR,D,20200625,000000,389.497,393.887,386.629,393.887,236880.75933743385,0
CDR,D,20200626,000000,396.175,397.609,377.083,377.368,559922.3766875569,0
CDR,D,20200629,000000,376.13,384.625,372.309,383.388,307056.1115620392,0
CDR,D,20200630,000000,381.856,386.815,375.934,376.985,307354.4397910777,0
CDR,D,20200701,000000,377.564,385.774,372.309,384.91,236474.50348969703,0
CDR,D,20200702,000000,386.53,390.067,382.72,386.53,223958.97246121644,0
CDR,D,20200703,000000,388.535,391.216,385.48,387.582,113410.54536342275,0
CDR,D,20200706,000000,391.216,391.884,385.578,386.629,169468.76142549515,0
CDR,D,20200707,000000,386.629,388.918,382.239,386.059,197353.79626742026,0
CDR,D,20200708,000000,386.059,386.727,378.9,381.002,190830.28444676698,0
CDR,D,20200709,000000,381.09,382.72,368.401,368.401,459964.0926280968,0
CDR,D,20200710,000000,364.001,368.489,361.81,362.763,409335.8576085666,0
CDR,D,20200713,000000,365.631,367.919,351.98,352.736,475721.5249577965,0
CDR,D,20200714,000000,350.26,351.214,335.175,337.846,654492.4252928412,0
CDR,D,20200715,000000,341.186,361.997,341.186,348.443,591047.2764605499,0
CDR,D,20200716,000000,349.396,353.698,345.202,351.597,227150.98269342398,0
CDR,D,20200717,000000,352.647,354.749,349.592,354.17,229883.7914536313,0
CDR,D,20200720,000000,355.122,375.462,355.034,375.266,326263.15494970925,0
CDR,D,20200721,000000,378.988,379.951,362.763,363.716,428665.08320607385,0
CDR,D,20200722,000000,364.001,368.489,357.99,365.631,315133.37381789455,0
CDR,D,20200723,000000,367.635,372.024,364.767,369.923,344071.2120346551,0
CDR,D,20200724,000000,364.767,371.16,361.997,370.404,450196.6431360532,0
CDR,D,20200727,000000,370.404,383.005,365.72,381.09,526903.652661967,0
CDR,D,20200728,000000,379.568,379.951,372.496,377.27,300980.6011774891,0
CDR,D,20200729,000000,375.649,385.293,373.458,382.808,600773.9985493077,0
CDR,D,20200730,000000,387.582,392.169,379.852,380.422,659358.3317999268,0
CDR,D,20200731,000000,381.473,386.442,380.039,383.761,248770.10654045868,0
CDR,D,20200803,000000,381.856,399.8,381.286,398.08,713409.7050653008,0
CDR,D,20200804,000000,399.996,403.817,395.409,398.562,743830.0207615084,0
CDR,D,20200805,000000,397.894,400.468,389.88,391.403,358613.949561477,0
CDR,D,20200806,000000,392.836,398.66,389.114,393.789,247160.35592574117,0
CDR,D,20200807,000000,393.308,412.027,391.589,407.627,355832.2679173389,0
CDR,D,20200810,000000,407.627,415.269,404.956,406.105,284355.67515788105,0
CDR,D,20200811,000000,407.824,410.112,393.504,397.707,235005.2624163084,0
CDR,D,20200812,000000,397.707,401.332,391.403,399.043,240728.48076247584,0
CDR,D,20200813,000000,399.043,400.851,392.07,392.07,323493.6915265487,0
CDR,D,20200814,000000,391.216,397.04,388.535,392.07,177476.78709576672,0
CDR,D,20200817,000000,392.07,396.175,388.918,389.497,336907.26179739705,0
CDR,D,20200818,000000,389.497,391.019,383.191,387.867,256676.31370252592,0
CDR,D,20200819,000000,387.582,396.175,385.676,396.175,198933.00132966842,0
CDR,D,20200820,000000,395.223,395.223,386.246,390.067,145607.59402780337,0
CDR,D,20200821,000000,394.741,396.558,390.45,390.636,187375.5824633934,0
CDR,D,20200824,000000,395.409,400.094,393.121,395.792,195913.06437632962,0
CDR,D,20200825,000000,395.223,397.128,388.535,389.497,264300.48359686485,0
CDR,D,20200826,000000,390.921,417.842,389.301,417.174,263724.1908404306,0
CDR,D,20200827,000000,415.269,441.04,413.452,439.901,665582.4972064608,0
CDR,D,20200828,000000,434.646,437.514,423.665,425.768,369666.34862706286,0
CDR,D,20200831,000000,425.768,429.49,415.269,418.608,351589.4906804571,0
CDR,D,20200901,000000,418.608,427.486,416.604,420.709,293285.15832740505,0
CDR,D,20200902,000000,419.187,430.541,418.225,419.943,175315.18016659046,0
CDR,D,20200903,000000,423.292,426.534,410.308,411.064,316810.32464801444,0
CDR,D,20200904,000000,400.763,416.133,392.935,408.59,852492.7690873601,0
CDR,D,20200907,000000,410.593,419.187,406.39,416.801,159719.63926492303,0
CDR,D,20200908,000000,420.041,420.326,408.776,413.746,406609.1579588531,0
CDR,D,20200909,000000,413.363,414.601,407.254,412.401,439561.69995411125,0
CDR,D,20200910,000000,411.732,413.648,408.393,409.542,482891.58430554846,0
CDR,D,20200911,000000,410.495,413.363,407.725,410.681,443748.47701146745,0
CDR,D,20200914,000000,413.363,414.787,398.375,398.375,638741.1020736353,0
CDR,D,20200915,000000,398.277,398.277,382.337,384.724,471021.58261908585,0
CDR,D,20200916,000000,387.199,394.172,383.29,386.913,360041.4450465093,0
CDR,D,20200917,000000,383.761,387.778,378.802,385.676,344085.46662580414,0
CDR,D,20200918,000000,386.629,392.64,383.859,383.859,720346.6000292553,0
CDR,D,20200921,000000,383.761,390.636,367.821,367.821,441158.2141627503,0
CDR,D,20200922,000000,373.547,389.399,372.496,382.72,584670.3832917091,0
CDR,D,20200923,000000,382.72,390.833,382.72,388.535,336855.33435820416,0
CDR,D,20200924,000000,385.676,390.833,380.236,384.341,559571.1028342549,0
CDR,D,20200925,000000,386.246,391.403,381.954,391.403,294254.4705255077,0
CDR,D,20200928,000000,395.223,410.112,394.555,410.112,330496.76852084516,0
CDR,D,20200929,000000,410.397,414.984,405.241,411.83,326541.1194771049,0
CDR,D,20200930,000000,405.722,410.878,399.426,399.426,449061.36676957563,0
CDR,D,20201001,000000,397.992,397.992,359.895,365.248,1226286.840037042,0
CDR,D,20201002,000000,372.408,382.337,366.682,379.185,794139.5638503671,0
CDR,D,20201005,000000,384.724,391.884,377.181,380.619,406989.9591795338,0
CDR,D,20201006,000000,381.856,382.622,356.085,357.803,831446.8834415278,0
CDR,D,20201007,000000,358.275,362.576,349.111,359.993,554609.4869294588,0
CDR,D,20201008,000000,363.913,371.258,362.665,371.258,380398.019391806,0
CDR,D,20201009,000000,372.211,372.211,356.556,361.044,384908.57930525695,0
CDR,D,20201012,000000,360.857,365.337,354.17,354.17,451269.8102125214,0
CDR,D,20201013,000000,354.17,366.77,350.349,365.631,296512.8050374751,0
CDR,D,20201014,000000,365.631,379.656,362.861,371.357,444604.77066546876,0
CDR,D,20201015,000000,368.872,369.923,356.369,357.99,326253.9912839735,0
CDR,D,20201016,000000,360.857,372.309,360.857,361.427,657652.8717875088,0
CDR,D,20201019,000000,364.296,366.584,355.122,355.122,325114.6421771633,0
CDR,D,20201020,000000,355.122,360.857,345.772,351.214,508725.9943922475,0
CDR,D,20201021,000000,350.545,352.647,338.613,349.209,718860.0498094757,0
CDR,D,20201022,000000,343.67,359.424,341.765,349.975,349040.9734201063,0
CDR,D,20201023,000000,350.732,353.315,336.697,337.463,819165.5349819151,0
CDR,D,20201026,000000,338.416,349.013,337.944,343.67,392718.05888453306,0
CDR,D,20201027,000000,346.725,362.763,346.155,347.589,718834.5951824196,0
CDR,D,20201028,000000,333.171,337.846,305.485,315.984,1643242.7947996352,0
CDR,D,20201029,000000,320.757,340.331,318.852,337.944,800723.1485908584,0
CDR,D,20201030,000000,335.744,336.029,318.184,320.187,609779.8455999799,0
CDR,D,20201102,000000,328.015,332.975,325.913,327.151,485700.7569469141,0
CDR,D,20201103,000000,331.737,349.877,327.446,348.443,612952.5103156352,0
CDR,D,20201104,000000,348.443,369.353,343.484,363.913,790867.1169966788,0
CDR,D,20201105,000000,370.306,378.232,353.217,354.268,800329.1109641093,0
CDR,D,20201106,000000,356.085,371.357,354.651,365.72,396035.30588182976,0
CDR,D,20201109,000000,371.357,382.907,352.363,354.553,1019368.2131089063,0
CDR,D,20201110,000000,357.99,361.525,337.463,349.111,847171.7338486069,0
CDR,D,20201112,000000,354.17,361.241,350.545,355.505,465028.54522617784,0
CDR,D,20201113,000000,355.603,355.603,346.626,346.921,300046.9254572489,0
CDR,D,20201116,000000,353.217,355.034,344.053,344.053,322797.25293042854,0
CDR,D,20201117,000000,343.67,354.17,342.904,352.834,307737.27738192974,0
CDR,D,20201118,000000,354.17,361.614,353.217,357.509,324035.3659902012,0
CDR,D,20201119,000000,357.037,357.037,348.924,351.312,354560.554749865,0
CDR,D,20201120,000000,351.4,359.041,351.312,355.319,309589.3560461603,0
CDR,D,20201123,000000,360.376,371.357,355.122,355.702,341350.62149543554,0
CDR,D,20201124,000000,357.99,359.895,348.924,354.268,291578.68012989644,0
CDR,D,20201125,000000,355.319,356.556,346.626,347.491,363243.6371295333,0
CDR,D,20201126,000000,352.264,360.376,341.765,342.62,519951.4849217727,0
CDR,D,20201127,000000,342.718,347.491,336.608,346.243,400974.52171482163,0
CDR,D,20201130,000000,349.396,373.458,349.396,371.828,1104994.5239534772,0
CDR,D,20201201,000000,374.597,399.23,374.597,387.582,983062.7876384688,0
CDR,D,20201202,000000,392.552,406.675,386.344,405.722,592692.6635531298,0
CDR,D,20201203,000000,406.675,408.59,399.043,401.902,505371.0745469069,0
CDR,D,20201204,000000,403.62,423.38,403.336,422.909,493919.54692916886,0
CDR,D,20201207,000000,426.249,443.141,383.673,405.82,1495468.502917182,0
CDR,D,20201208,000000,381.856,391.786,367.536,377.083,1960093.846850905,0
CDR,D,20201209,000000,381.571,393.406,365.818,377.849,1480615.2189403942,0
CDR,D,20201210,000000,373.743,382.907,342.05,345.576,2143518.8711959915,0
CDR,D,20201211,000000,342.521,342.521,294.318,305.966,4154934.3371072854,0
CDR,D,20201214,000000,252.98,284.487,227.68,282.67,5619799.251013473,0
CDR,D,20201215,000000,290.016,302.431,280.666,286.392,2781910.7357864967,0
CDR,D,20201216,000000,285.724,290.213,276.845,286.392,1173635.4712595132,0
CDR,D,20201217,000000,291.165,299.66,291.165,295.172,1124400.1134321932,0
CDR,D,20201218,000000,248.206,260.237,231.5,259.088,5696244.586973392,0
CDR,D,20201221,000000,248.206,253.265,236.754,244.386,2839957.4673137856,0
CDR,D,20201222,000000,250.691,263.39,250.111,255.553,1565481.9637137852,0
CDR,D,20201223,000000,262.526,263.095,240.566,256.8,1517540.719125733,0
